var	UA.0	UA.1	MI.0	MI.1	PCI.0	PCI.1	TX.0	CA.0	CA.1
SWEDEN	0.100098579748981	0.229710325329184	-0.396688120839925	-0.064755861873875	0	0	0	-0.260256504158815	-5.93588462038343e-11
SWITZERLAND	-0.0756553145932801	-0.0851689746458349	0.245599088540527	0.00260673786114466	0	0	0	0.127295635446638	6.91986230111215e-12
TURKEY	NA	NA	0.105743948224074	0.00217329148229326	NA	NA	0	-0.0718825118455088	-1.29801414252791e-11
UK	-0.253371203141412	-0.259649112815512	-0.121661141188268	-0.0265209000902507	0	0	0	-0.177694551246425	-3.4491031620827e-11
UKRAINE	NA	NA	0.0548260729540296	-0.000849011049552775	NA	NA	NA	NA	NA
var.country	0.332452908738656	0.444573522557389	0.146422600250394	0.00545042251660598	0	0	0	0.127346294594344	2.46328249673561e-11
var.hosp	0.450294959403438	0.466975511656085	0.362521728687201	0.0430572149377973	0.370229788133698	0.321336018485506	0.308140005064138	0.279612572219103	0.396625938568429
AUC.C Index	0.851534071006161	0.865357658214801	0.795295123127084	0.756194660021477	0.780674172253419	0.774543377535667	0.803450766242531	0.779690502322693	0.782067703040932
AUC.lower.C Index	0.808728681682365	0.82510785689723	0.781228054499585	0.740484579401963	0.753556132769962	0.746705210583867	0.769547307238932	0.757213996873781	0.759163475797321
AUC.upper.C Index	0.894339460329957	0.905607459532372	0.809362191754584	0.771904740640991	0.807792211736875	0.802381544487466	0.83735422524613	0.802167007771605	0.804971930284542
