id,Sexe,Perfil,Districte de residŠncia,Edat,satisfacinf,nivellqualitat,aspectmillora,nivellalumnat,sisteducatiu,iniciativapubresultats,instrprovesexternes
14,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,3,3,3,4,3
15,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,1,1,2,1,2
16,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,,2,2,2,2,2,3
17,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,M‚s de 55 anys,3,2,2,2,2,1,2
18,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,,1,2,3,1,1,3
19,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,2,1,1,1,4,1,2
20,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,2,2,1,1,2
21,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,,3,3,3,3,2,3
22,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,3,4,1
23,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,2,2,2,1,3
24,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,,1,2,2,1,1,2
25,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,3,3,3
26,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,3,3,3,2,2
27,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,2,2,3,3,1,3,3
28,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,1,1,1,1,2
29,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,2,3,3,2,3,1,3
30,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,2,2,1,3,3
31,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,1,2,1,1,1,2
32,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,M‚s de 55 anys,,3,3,3,3,1,3
33,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,2,2,4,2,2
34,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,1,1,3,2,2
35,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,M‚s de 55 anys,,1,2,2,1,1,3
36,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,M‚s de 55 anys,,1,2,1,1,1,2
37,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Menys de 35 anys,,3,3,3,2,1,3
38,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,M‚s de 55 anys,,3,3,3,3,3,1
39,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,2,2,3,1,1,3
40,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,1,1,2
41,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,1,1,1,3,1,2
42,Home,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Menys de 35 anys,,1,1,1,2,1,2
43,Home,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,1,1,2
44,Home,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,4,3,4,1,1
45,Home,Ambdues,Altres districtes de Barcelona,M‚s de 55 anys,3,1,1,1,1,1,2
46,Home,Ambdues,Gr…cia,Entre 35 i 55 anys,,3,2,3,1,1,3
47,Home,Ambdues,Altres municipis,Entre 35 i 55 anys,,3,3,3,2,3,1
48,Home,Ambdues,Gr…cia,Entre 35 i 55 anys,,1,2,2,2,1,3
49,Home,Ambdues,Altres municipis,Entre 35 i 55 anys,,1,1,2,3,2,2
50,Home,Ambdues,Gr…cia,Entre 35 i 55 anys,2,2,2,2,2,2,3
51,Home,Ambdues,Altres municipis,Entre 35 i 55 anys,,2,2,1,4,1,2
52,Home,Altres,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,3,3,2,1,3
53,Home,Altres,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,2,1,3
54,Home,Altres,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,1,1,2
55,Home,Altres,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,1,1,2
56,Home,Altres,Gr…cia,Entre 35 i 55 anys,,1,2,2,1,1,2
57,Home,Altres,Altres districtes de Barcelona,M‚s de 55 anys,,3,3,2,2,1,3
58,Home,Altres,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,3,3,2,2,2
59,Home,Altres,Altres municipis,Entre 35 i 55 anys,,2,3,3,3,2,3
60,Home,Altres,Altres districtes de Barcelona,Menys de 35 anys,,1,2,2,1,1,2
61,Home,Altres,Altres districtes de Barcelona,M‚s de 55 anys,,3,4,3,3,2,1
62,Home,Altres,Altres districtes de Barcelona,Menys de 35 anys,,3,3,3,3,1,3
63,Home,Altres,Altres districtes de Barcelona,Menys de 35 anys,,3,3,3,2,2,2
64,Home,Altres,Altres municipis,Entre 35 i 55 anys,,3,3,3,3,3,3
65,Home,Altres,Altres municipis,Entre 35 i 55 anys,2,2,2,2,2,4,1
66,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,2,2,2,1,1,1,2
67,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,1,3,3,2,3,1,3
68,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,3,1,2,2,3,1,2
69,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,2,1,3
70,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,2,1,1,1,1,1,2
71,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,3,3,3
72,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,3,1,1,2,2,1,2
73,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,3,4,3
74,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,3,3,2,1,3
75,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,4,1,3,4,2
76,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,1,2,1,1,2
77,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,3,3,3
78,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,3,3,3,3,1
79,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,1,3,3,3,2,3,3
80,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,3,2,2,2,2
81,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,2,1,1,1,1,1,2
82,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,2,1,3,1,2
83,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,,2,3,2,3,2,3
84,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,3,2,3,3,3,1,2
85,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,3,2,3,3,3,1,2
86,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,2,2,3,2,2,1,2
87,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,2,2,3,2,2,1,2
88,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,1,1,2
89,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,2,1,2,1,1,1,2
90,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,2,1,4,1,2
91,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,3,3,2,3,3
92,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,3,3,3,3,3
93,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Menys de 35 anys,,2,2,2,2,2,2
94,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,2,3,3,3,3,3,3
95,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,3,1,1,1,2
96,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,3,1,2,1,2
